Vivado Simulator 2019.1
Time resolution is 1 ps
Time=0, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=         0
Time=20000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         1, GCD_Result=         0
Time=25000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         1, GCD_Result=         0
Time=35000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=0, pc_taken=0, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967289, GCD_Result=         0
Time=45000, PC=        12, Instr=0x000e0513, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr=10, ALU_Result=        60, GCD_Result=         0
Time=55000, PC=        16, Instr=0x000e8593, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr=11, ALU_Result=        24, GCD_Result=        60
Time=65000, PC=        20, Instr=0x00c000ef, branch=0, jump=1, cond_met=0, pc_taken=1, Opcode=0b1101111, RegWrite=1, RdAddr= 1, ALU_Result=         0, GCD_Result=        60
Time=75000, PC=        32, Instr=0x02058063, branch=1, jump=0, cond_met=0, pc_taken=0, Opcode=0b1100011, RegWrite=0, RdAddr= 0, ALU_Result=        56, GCD_Result=        60
Time=85000, PC=        36, Instr=0x00050313, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 6, ALU_Result=        60, GCD_Result=        60
Time=95000, PC=        40, Instr=0x00b34663, branch=1, jump=0, cond_met=0, pc_taken=0, Opcode=0b1100011, RegWrite=0, RdAddr=12, ALU_Result=        72, GCD_Result=        60
Time=105000, PC=        44, Instr=0x40b30333, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0110011, RegWrite=1, RdAddr= 6, ALU_Result=        36, GCD_Result=        60
Time=115000, PC=        48, Instr=0xff9ff06f, branch=0, jump=1, cond_met=0, pc_taken=1, Opcode=0b1101111, RegWrite=1, RdAddr= 0, ALU_Result=         0, GCD_Result=        60
Time=125000, PC=        40, Instr=0x00b34663, branch=1, jump=0, cond_met=0, pc_taken=0, Opcode=0b1100011, RegWrite=0, RdAddr=12, ALU_Result=        48, GCD_Result=        60
Time=135000, PC=        44, Instr=0x40b30333, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0110011, RegWrite=1, RdAddr= 6, ALU_Result=        12, GCD_Result=        60
Time=145000, PC=        48, Instr=0xff9ff06f, branch=0, jump=1, cond_met=0, pc_taken=1, Opcode=0b1101111, RegWrite=1, RdAddr= 0, ALU_Result=         0, GCD_Result=        60
Time=155000, PC=        40, Instr=0x00b34663, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=12, ALU_Result=        24, GCD_Result=        60
Time=165000, PC=        52, Instr=0x00058513, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr=10, ALU_Result=        24, GCD_Result=        60
Time=175000, PC=        56, Instr=0x00030593, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr=11, ALU_Result=        12, GCD_Result=        24
Time=185000, PC=        60, Instr=0xfe5ff06f, branch=0, jump=1, cond_met=0, pc_taken=1, Opcode=0b1101111, RegWrite=1, RdAddr= 0, ALU_Result=4294967295, GCD_Result=        24
Time=195000, PC=        32, Instr=0x02058063, branch=1, jump=0, cond_met=0, pc_taken=0, Opcode=0b1100011, RegWrite=0, RdAddr= 0, ALU_Result=        44, GCD_Result=        24
Time=205000, PC=        36, Instr=0x00050313, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 6, ALU_Result=        24, GCD_Result=        24
Time=215000, PC=        40, Instr=0x00b34663, branch=1, jump=0, cond_met=0, pc_taken=0, Opcode=0b1100011, RegWrite=0, RdAddr=12, ALU_Result=        36, GCD_Result=        24
Time=225000, PC=        44, Instr=0x40b30333, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0110011, RegWrite=1, RdAddr= 6, ALU_Result=        12, GCD_Result=        24
Time=235000, PC=        48, Instr=0xff9ff06f, branch=0, jump=1, cond_met=0, pc_taken=1, Opcode=0b1101111, RegWrite=1, RdAddr= 0, ALU_Result=         0, GCD_Result=        24
Time=245000, PC=        40, Instr=0x00b34663, branch=1, jump=0, cond_met=0, pc_taken=0, Opcode=0b1100011, RegWrite=0, RdAddr=12, ALU_Result=        24, GCD_Result=        24
Time=255000, PC=        44, Instr=0x40b30333, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0110011, RegWrite=1, RdAddr= 6, ALU_Result=         0, GCD_Result=        24
Time=265000, PC=        48, Instr=0xff9ff06f, branch=0, jump=1, cond_met=0, pc_taken=1, Opcode=0b1101111, RegWrite=1, RdAddr= 0, ALU_Result=         0, GCD_Result=        24
Time=275000, PC=        40, Instr=0x00b34663, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=12, ALU_Result=        12, GCD_Result=        24
Time=285000, PC=        52, Instr=0x00058513, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr=10, ALU_Result=        12, GCD_Result=        24
Time=295000, PC=        56, Instr=0x00030593, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr=11, ALU_Result=         0, GCD_Result=        12
Time=305000, PC=        60, Instr=0xfe5ff06f, branch=0, jump=1, cond_met=0, pc_taken=1, Opcode=0b1101111, RegWrite=1, RdAddr= 0, ALU_Result=4294967295, GCD_Result=        12
Time=315000, PC=        32, Instr=0x02058063, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr= 0, ALU_Result=        32, GCD_Result=        12
Time=325000, PC=        64, Instr=0x00008067, branch=0, jump=1, cond_met=0, pc_taken=1, Opcode=0b1100111, RegWrite=1, RdAddr= 0, ALU_Result=         0, GCD_Result=        12
Time=335000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=345000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=355000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=365000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=375000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=385000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=395000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=405000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=415000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=425000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=435000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=445000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=455000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=465000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=475000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=485000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=495000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=505000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=515000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=525000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=535000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=545000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=555000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
